site,form,method=post,method=get,script,javascripts,iframe,applet,frame,type=submit,email,password,button,length,At Sign,Forward Slashes,www Present,periods,dashes,underscores,number of digits,has ASCII
https://paypal-caseid6357.com/users/userID-81773/season.php,0,0,0,2,1,0,0,0,0,0,0,0,59,0,5,0,1,1,0,4,0
https://verificationapprovebyhosting.weebly.com/,1,0,0,21,11,0,0,0,1,1,5,1,48,0,3,0,2,0,0,0,0
https://dkvgb56g.weebly.com/,1,0,0,27,15,0,0,0,1,2,2,2,28,0,3,0,2,0,0,2,0
https://inboxcessna.000webhostapp.com/,1,0,0,9,6,1,0,0,1,127,118,5,38,0,3,3,2,0,0,3,3
https://already-crypto-users.000webhostapp.com/,1,0,0,4,1,1,0,0,1,11,13,1,47,0,3,3,2,2,0,3,3
https://virmntreglmntbcoin.000webhostapp.com/,1,0,0,5,4,0,0,0,1,4,1,2,45,0,3,3,2,0,0,3,3
http://oraclea45ppsblog.ru/tyuijuyhtgredfgthyujytgrfed/5733d5645fa242f21994af716519b3fc/login.html,0,0,0,0,0,0,0,0,0,0,0,0,98,0,5,0,1,0,0,2,0
http://oraclea45ppsblog.ru/tyuijuyhtgredfgthyujytgrfed/1a42e585d64cb42950683dd687973585/login.html,0,0,0,0,0,0,0,0,0,0,0,0,98,0,5,1,1,0,0,2,1
https://emailverificationservice.godaddysites.com/,1,0,0,6,6,0,0,0,1,11,0,1,50,0,3,0,2,0,0,0,0
http://fande.rendil.org/ssegtj/goren/goog3/7ec840e5331d0ab1639e60cdb037fb21/,0,0,0,1,0,0,0,0,0,2,0,0,76,0,7,4,2,0,0,0,4
http://fande.rendil.org/ssegtj/goren/goog3/7ec840e5331d0ab1639e60cdb037fb21,0,0,0,1,0,0,0,0,0,2,0,0,75,0,6,4,2,0,0,0,4
https://www.domens-ff.duckdns.org/,0,0,0,0,0,0,0,0,0,0,0,1,34,0,3,0,3,1,0,0,0
http://domens-ff.duckdns.org/,0,0,0,0,0,0,0,0,0,0,0,1,29,0,3,0,2,1,0,0,0
https://facebook-voting.firebaseapp.com/,1,0,0,2,2,0,0,0,0,11,4,3,40,0,3,0,2,1,0,0,0
http://facebook-voting.firebaseapp.com/,1,0,0,2,2,0,0,0,0,11,4,3,39,0,3,0,2,1,0,0,0
https://www.grubbohay-croot22.duckdns.org/,0,0,0,0,0,0,0,0,0,0,0,1,42,0,3,0,3,1,0,2,0
http://chasebanks.duckdns.org/lg.php,1,0,0,5,3,0,0,0,1,0,8,1,36,0,3,0,2,0,0,0,0
http://soniastockett.com/u1/office.php,1,0,0,3,3,0,0,0,1,7,7,1,38,0,4,0,1,0,0,0,0
http://inboxcessna.000webhostapp.com/,1,0,0,9,6,1,0,0,1,127,118,5,37,0,3,3,2,0,0,3,3
