site,form,method=post,method=get,script,javascripts,iframe,applet,frame,type=submit,email,password,button,length,At Sign,Forward Slashes,www Present,periods,dashes,underscores,number of digits,has ASCII
https://app-uniswap.one/,0,0,0,5,1,0,0,0,0,0,0,30,24,0,3,0,1,1,0,0,0
http://app-uniswap.one,0,0,0,5,1,0,0,0,0,0,0,30,22,0,2,0,1,1,0,0,0
https://pulsartoken-giveaway.com/,0,0,0,8,7,0,0,0,0,0,0,1,33,0,3,0,1,1,0,0,0
https://mail.zenstream.com/wp-contents/login/index.html,1,0,0,7,5,0,0,0,1,1,1,1,55,0,5,0,2,0,0,0,0
https://resgateponto.me/@/0wyvaEjiV5xIy3z6F3sXoVsHFU/?tipoCliente=fisico&segmento=emp&pk_vid=db4b285e4b875c5b157759871728298d&v=2.13.6,0,0,0,3,3,0,0,0,0,0,0,0,134,1,5,1,1,0,0,0,1
https://resgateponto.me/@/0fCqGqxVJDbUUr3E0j0Agk9fE7/?tipoCliente=fisico&segmento=emp&pk_vid=db4b285e4b875c5b157759871728298d&v=2.13.6,0,0,0,3,3,0,0,0,0,0,0,0,134,1,5,3,1,0,0,0,3
https://resgateponto.me/@/0FtzQoPfAjnD3d1g915Mw50kgs/?tipoCliente=fisi,0,0,0,3,3,0,0,0,0,0,0,0,70,1,5,2,1,0,0,0,2
http://axenfinity.com,0,0,0,13,21,0,0,0,0,1,0,0,21,0,2,0,1,0,0,0,0
http://first456borneo.live/,1,0,0,6,7,0,0,0,0,1,10,4,27,0,3,0,1,0,0,3,0
https://soniastockett.com/u1/index.php,0,0,0,3,3,0,0,0,0,1,0,0,38,0,4,0,1,0,0,0,0
https://soniastockett.com/u1/,0,0,0,3,3,0,0,0,0,1,0,0,29,0,4,0,1,0,0,0,0
https://soniastockett.com/u1,0,0,0,3,3,0,0,0,0,1,0,0,28,0,3,0,1,0,0,0,0
https://www.prosnapper.com/atadmin/,1,0,0,0,0,0,0,0,0,1,2,0,35,0,4,0,2,0,0,0,0
https://candyrush.in/wp-content/NewFolder/wells-fargo/ge5mza=/we2nzi=/jm0mti=/,2,0,0,9,3,0,0,0,1,1,9,0,78,0,9,1,1,0,0,0,1
https://candyrush.in/wp-content/NewFolder/wells-fargo/ge5mza=/we2nzi=/jm0mti=,2,0,0,9,3,0,0,0,1,1,9,0,77,0,8,1,1,0,0,0,1
https://emahajobs.com/west/signin.php,1,0,0,2,0,0,0,0,1,0,1,1,37,0,4,0,1,0,0,0,0
https://resgateponto.me/@/04ysg1q1gBRy5cW5OuLuo53ZUy/?tipoCliente=fisico&segmento=emp&pk_vid=db4b285e4b875c5b157759871728298d&v=2.13.6,0,0,0,3,3,0,0,0,0,0,0,0,134,1,5,1,1,0,0,0,1
http://nextecwebdesign.com/BankofAmerica/boa/,0,0,0,1,0,0,0,0,0,0,1,0,45,0,5,0,1,0,0,0,0
http://nextecwebdesign.com/BankofAmerica/boa,0,0,0,1,0,0,0,0,0,0,1,0,44,0,4,0,1,0,0,0,0
https://newwells.duckdns.org/wells.htm,2,0,0,7,3,0,0,0,2,6,6,0,38,0,3,0,2,0,0,0,0
https://newwells.duckdns.org/index.html,4,0,0,9,5,0,0,0,4,0,13,1,39,0,3,0,2,0,0,0,0
