site,length,At Sign,Forward Slashes,www Present,periods,dashes,underscores,number of digits,has ASCII
https://www-amazon.msintec.one/,31,0,3,0,2,1,0,0,0
https://niceastwice.weebly.com/,31,0,3,0,2,0,0,0,0
https://paypal-caseid6308.com/users/userID-35269/season.php,59,0,5,1,1,1,0,4,1
https://www-amozon.msintec.one/,31,0,3,0,2,1,0,0,0
https://llrakuten.co.jjp.3686.net.cn/,37,0,3,0,5,0,0,4,0
https://jmknctkvlhckvzfse3vz0eeglr26tfsc8si3krewk6.cloudns.nz/form/personal,75,0,4,1,2,0,0,7,1
https://stupefied-ellis.107-174-50-164.plesk.page/d/1bdf8,57,0,4,2,3,4,0,11,2
https://irs-infogo.com/basahaa/login/gov/covid/asdashjdasdkjashdaksjhdasdaskid&post=665308711_31&cc_key,103,0,7,1,1,1,0,0,1
https://amazom.co.ip.pmdngkd.cn/,32,0,3,0,4,0,0,0,0
https://rakutenll.co.jjjp.hao588.net/,37,0,3,0,4,0,0,3,0
https://jmknctkvlhckvzfse3vz0eeglr26tfsc8si3krewk6.cloudns.nz/home,66,0,3,1,2,0,0,7,1
https://rakutenll.co.jjp.mkfcw.net/,35,0,3,0,4,0,0,0,0
https://www2.etc-merisair.jp.szdwf.cn/,38,0,3,0,4,1,0,1,0
https://rakutenll.co.jjp.bbta.net.cn/,37,0,3,0,5,0,0,0,0
https://www.smbc-login.net/,27,0,3,0,2,1,0,0,0
https://rakutenll.cc.jjp.ftfcw.net/,35,0,3,0,4,0,0,0,0
https://rakutenll.co.jjpl.cerain.net/,37,0,3,0,4,0,0,0,0
https://www.etc-merisai.szfzc.cn/,33,0,3,0,3,1,0,0,0
https://activatemailnow.weebly.com/,35,0,3,0,2,0,0,0,0
https://allegrolokalnie-pl.895685.space/cash72072771,52,0,3,1,2,1,0,6,1
https://irs-gov.beneficiary-update-page.com/form/personal,57,0,4,0,2,3,0,0,0
https://smbc-card.com.luqd26.cn/mobile/smbc_mobile_signin.php,61,0,4,0,3,1,0,2,0
https://www.smbc-login.net/php/api/jump.php,43,0,5,0,2,1,0,0,0
https://www.smbc-login.net,26,0,2,0,2,1,0,0,0
https://saginter.com/Review/PDF/,32,0,5,0,1,0,0,0,0
https://www.joingroubwhatsaapp.se.ke/,37,0,3,0,3,0,0,0,0
https://mail.secured03-netflix-update09.duckdns.org/NF/Netflix/login.php?FPOgFTjPpysdyHYAGxlIWcYD5EEfDkVXlOZD3101pcZVO,118,0,5,3,3,2,0,4,3
http://khoavantaycaocap.vn/source/linkdin/content/Linkedin/?user=,65,0,7,0,1,0,0,0,0
https://sweet-feistel.107-174-50-164.plesk.page/b/e1a70/,56,0,5,3,3,4,0,11,3
http://sweet-feistel.107-174-50-164.plesk.page/b/e1a70,54,0,4,3,3,4,0,11,3
https://612503.selcdn.ru/offic/[email protected],48,0,4,1,2,0,0,6,1
"http://khoavantaycaocap.vn/source/linkdin/content/4affacae867b0babfafebe2bf01b81b0?user=&_verify?service=mail&data:text/html;charset=utf-8;base64,PGh0bWw%20DQo8c3R5bGU%20IGJvZHkgeyBtYXJnaW46IDA7IG92ZXJmbG93OiBoaWRkZW47IH0gPC9zdHlsZT4NCiAgPGlmcmFt",246,0,7,7,1,0,0,0,7
"http://khoavantaycaocap.vn/source/linkdin/content/4affacae867b0babfafebe2bf01b81b0/?user=&_verify?service=mail&data:text/html;charset=utf-8;base64,PGh0bWw%20DQo8c3R5bGU%20IGJvZHkgeyBtYXJnaW46IDA7IG92ZXJmbG93OiBoaWRkZW47IH0gPC9zdHlsZT4NCiAgPGlmcmFt",247,0,8,7,1,0,0,0,7
"http://khoavantaycaocap.vn/source/linkdin/content/dcfa1512ce16cebbbf136e2c46e4e420/?user=&.verify?service=mail&data:text/html;charset=utf-8;base64,PGh0bWw%20DQo8c3R5bGU%20IGJvZHkgeyBtYXJnaW46IDA7IG92ZXJmbG93OiBoaWRkZW47IH0gPC9zdHlsZT4NCiAgPGlmcmFt",247,0,8,5,1,0,0,0,5
"http://khoavantaycaocap.vn/source/linkdin/content/dcfa1512ce16cebbbf136e2c46e4e420?user=&.verify?service=mail&data:text/html;charset=utf-8;base64,PGh0bWw%20DQo8c3R5bGU%20IGJvZHkgeyBtYXJnaW46IDA7IG92ZXJmbG93OiBoaWRkZW47IH0gPC9zdHlsZT4NCiAgPGlmcmFt",246,0,7,5,1,0,0,0,5
