site,length,At Sign,Forward Slashes,www Present,periods,dashes,underscores,number of digits,has ASCII
https://kel-landasanulinselatan.banjarbarukota.go.id/redir.php,62,0,3,0,3,1,0,0,0
https://azarnazarov.com/smbc.co.jp/795cdfd06df2e6cc9728172018568731/,68,0,5,2,1,0,0,0,2
http://ftx-exchangex.online,27,0,2,0,1,1,0,0,0
https://sonalt.com/,19,0,3,0,1,0,0,0,0
http://sonalt.com,17,0,2,0,1,0,0,0,0
https://iscrt.b-cdn.net/zxrvipue.html,37,0,3,0,2,1,0,0,0
https://azarnazarov.com/smbc.co.jp/,35,0,4,0,1,0,0,0,0
https://www.bcpzonasegura-viabcp.com/,37,0,3,0,2,1,0,0,0
https://silentpowerful.weebly.com/hotmail-sign-in-download.html,63,0,3,0,2,0,0,0,0
https://50.28.104.187/includes/cu/createj/insidekfe,51,0,6,2,3,0,0,10,2
https://sweet-gould.45-81-232-17.plesk.page/m1st/,49,0,4,0,3,4,0,9,0
https://panckakeswap.com/,25,0,3,0,1,0,0,0,0
https://huletradgard.se/wp-includes/js/jcrop/cgi/BOfA/80c8cca2841aef7411dcf78a72791526/login.php?cmd=login_submit&id=c89c08bfeeea2f958007edefb48134f8c89c08bfeeea2f958007edefb48134f8&session=c89c08bfeeea2f958007edefb48134f8c89c08bfeeea2f958007edefb48134f8,254,0,9,13,1,0,0,0,13
https://onlinebank.d19qukyhspedaf.amplifyapp.com/onlinebanking.huntington.com/,78,0,4,0,3,0,0,2,0
https://www.jsg-montroyal.de/igpromo/,37,0,4,0,2,1,0,0,0
https://www.grupwhasapdewasa.duckdns.org/,41,0,3,0,3,0,0,0,0
https://www.joingrupnitnott.duckdns.org/,40,0,3,0,3,0,0,0,0
https://intelligent-villani.109-71-253-24.plesk.page/,53,0,3,1,3,4,0,10,1
https://www.jsg-montroyal.de/instaagran/,40,0,4,0,2,1,0,0,0
https://bit.ly/2ZflroU,22,0,3,0,1,0,0,0,0
https://competent-bardeen.107-172-248-162.plesk.page/CC_POSTALE2021/8fd10/,74,0,5,3,3,4,0,12,3
https://embcybersecurity.org/dleo/,34,0,4,0,1,0,0,0,0
https://casadesaudeevoidemoura.com.br/administrator/templates/bluestork/en/[email protected],92,0,7,0,2,0,0,0,0
https://mail.joingrupnitnott.duckdns.org/,41,0,3,0,3,0,0,0,0
http://b-o-a.duckdns.org/login.php?cmd=login_submit&id=3c52b8cc7404fa0bdb951ec634889b963c52b8cc7404fa0bdb951ec634889b96&session=3c52b8cc7404fa0bdb951ec634889b963c52b8cc7404fa0bdb951ec634889b96,192,0,3,8,2,2,0,0,8
http://fundaccount.000webhostapp.com/,37,0,3,3,2,0,0,3,3
http://stopc.org/end/,21,0,4,0,1,0,0,0,0
http://stopc.org/end,20,0,3,0,1,0,0,0,0
https://www.huaythai.bet/W-F-J-E/connect.secure/log/present/contact.html?fea9cbef1934ad22278179f5361f244b-fea9cbef1934ad22278179f5361f244b-fea9cbef1934ad22278179f5361f244bfea9cbef1934ad22278179f5361f244bfea9cbef1934ad22278179f5361f244bfea9cbef1934ad22278179f5361f244bfea9cbef1934ad22278179f5361f244bfea9cbef1934ad22278179f5361f244bfea9cbef1934ad22278179f5361f244bfea9cbef1934ad22278179f5361f244bfea9cbef1934ad22278179f5361f244b,427,0,7,33,2,0,0,0,0
https://www.huaythai.bet/W-F-J-E/connect.secure/log/present/,60,0,7,0,2,0,0,0,0
https://www.b-o-a.duckdns.org/login.php?cmd=login_submit&id=479d069dff8d9bbb6725b9ee69bea0dc479d069dff8d9bbb6725b9ee69bea0dc&session=479d069dff8d9bbb6725b9ee69bea0dc479d069dff8d9bbb6725b9ee69bea0dc,197,0,3,0,3,2,0,0,8
https://www.yosari.com/upload/111111/clients/abmMXv.php?verification#_,70,0,6,6,2,0,0,0,0
https://vibrant-bohr.172-245-184-106.plesk.page/p/59874/,56,0,5,1,3,4,0,12,1
https://www.b-o-a.duckdns.org/login.php?cmd=login_submit&id=e1009bd7ca86db15a239ff06c3012332e1009bd7ca86db15a239ff06c3012332&session=e1009bd7ca86db15a239ff06c3012332e1009bd7ca86db15a239ff06c3012332,197,0,3,12,3,2,0,0,16
https://www.clubtimeout.rs/wp-includes/images/Richolo%20docu%202017/docusign/docusign/index.php,95,0,8,1,2,0,0,0,3
https://www.yosari.com//upload/111111?pwd=9377,46,0,5,6,2,0,0,0,0
https://s3.us-west-1.amazonaws.com/mlx90-section800.abl.excessed-s.fx50211/index.html,85,0,4,4,3,2,0,2,4
https://crueltyterrace.com/adobecloud/,38,0,4,0,1,0,0,0,0
https://needupdateto.webamazoncardshop.work/signin/?openid.pape.max_auth_age=0&openid.return_to=https://www.amazon.co.jp/?ref_=nav_em_hd_re_signin&openid.identity=http://specs.openid.net/auth/2.0/identifier_select&openid.assoc_handle=jpflex&openid.mode=checkid_setup&[email protected]&openid.claimed_id=http://specs.openid.net/auth/2.0/identifier_select&openid.ns=http://specs.openid.net/auth/2.0&&ref_=nav_em_hd_clc_signin,423,0,21,0,2,0,0,0,4
https://mail.newwwvirallll.duckdns.org/,39,0,3,0,3,0,0,0,0
https://sgp1.digitaloceanspaces.com/1simivalleyfordhutchinsure0/index.html,74,0,4,1,2,0,0,1,1
http://chase-login0123.app.link/LzcpikuBKkb,43,0,3,1,2,1,0,4,1
https://motoroctane.com/login/mychase/?_branch_match_id=982768135776196622&_branch_referrer=H4sIAAAAAAAAA8soKSkottLXT85ILE7VzclPz8wzMDQy1kssKNDLyczL1vepSi7IzC518s5Oso%20PTypKzEvOiE/LyS%20Pz0yxtbQwMjezMDQ2tTC2NAQCCxMAsUQ2WlAAAAA=,228,0,6,3,1,0,0,0,3
https://sagelogx.com/wp-admin/user/usr/ec18425361e25d9168eb047fa8ca2d18,71,0,6,1,1,0,0,0,1
https://sagelogx.com/wp-admin/user/usr/ec18425361e25d9168eb047fa8ca2d18/,72,0,7,1,1,0,0,0,1
http://sagelogx.com/wp-admin/user/usr/ec18425361e25d9168eb047fa8ca2d18/,71,0,7,1,1,0,0,0,1
https://sagelogx.com/wp-admin/user/usr/ec18425361e25d9168eb047fa8ca2d18/que.php,79,0,7,1,1,0,0,0,1
https://sagelogx.com/wp-admin/user/usr/ec18425361e25d9168eb047fa8ca2d18/fulls.php,81,0,7,1,1,0,0,0,1
https://sagelogx.com/wp-admin/user/usr/ec18425361e25d9168eb047fa8ca2d18/full.php,80,0,7,1,1,0,0,0,1
https://connectchase--00.herokuapp.com/,39,0,3,2,2,2,0,2,2
https://wwwverifyaccountauth03b.duckdns.org/email/Microsoft?skip_api_login=1&api_key=145044622175352&kid_directed_site=0&app_id=145044622175352&signed_next=1,157,0,4,6,2,0,0,2,4
https://nowupdate.webamazoncardshop.buzz/signin/?openid.pape.max_auth_age=0&openid.return_to=https://www.amazon.co.jp/?ref_=nav_em_hd_re_signin&openid.identity=http://specs.openid.net/auth/2.0/identifier_select&openid.assoc_handle=jpflex&openid.mode=checkid_setup&[email protected]&openid.claimed_id=http://specs.openid.net/auth/2.0/identifier_select&openid.ns=http://specs.openid.net/auth/2.0&&ref_=nav_em_hd_clc_signin,420,0,21,0,2,0,0,0,4
https://soudsgo.weebly.com/yahoo-mail.html,42,0,3,0,2,0,0,0,0
https://prajatantratv.com/jh/wells/well/login.php?cmd=login_submit&id=6958e3e8953443803a174d17bbdf63836958e3e8953443803a174d17bbdf6383&session=6958e3e8953443803a174d17bbdf63836958e3e8953443803a174d17bbdf6383,207,0,6,4,1,0,0,0,4
https://dearcustomers.webamazoncardshop.club/signin/?openid.pape.max_auth_age=0&openid.return_to=https://www.amazon.co.jp/?ref_=nav_em_hd_re_signin&openid.identity=http://specs.openid.net/auth/2.0/identifier_select&openid.assoc_handle=jpflex&openid.mode=checkid_setup&[email protected]&openid.claimed_id=http://specs.openid.net/auth/2.0/identifier_select&openid.ns=http://specs.openid.net/auth/2.0&&ref_=nav_em_hd_clc_signin,424,0,21,0,2,0,0,0,4
https://cardservices.webamazoncardshop.xyz/signin/?openid.pape.max_auth_age=0&openid.return_to=https://www.amazon.co.jp/?ref_=nav_em_hd_re_signin&openid.identity=http://specs.openid.net/auth/2.0/identifier_select&openid.assoc_handle=jpflex&openid.mode=checkid_setup&[email protected]&openid.claimed_id=http://specs.openid.net/auth/2.0/identifier_select&openid.ns=http://specs.openid.net/auth/2.0&&ref_=nav_em_hd_clc_signin,422,0,21,0,2,0,0,0,4
http://exolduis.site,20,0,2,0,1,0,0,0,0
https://amanzon.co.ip.richangyuansu.com.cn/,43,0,3,0,5,0,0,0,0
http://amanzon.co.ip.richangyuansu.com.cn/,42,0,3,0,5,0,0,0,0
http://acountcomfim.ygto.com/ucrecomfrim.htm,44,0,3,0,2,0,0,0,0
https://reurl.cc/xEKNOZ?confirmation,36,0,3,0,1,0,0,0,0
https://aceblitas.000webhostapp.com/login-acoun/termz.html,58,0,4,3,2,0,0,3,3
https://lhzrmm.rest/,20,0,3,0,1,0,0,0,0
https://ameozon.pwmmegs.cn/,27,0,3,0,2,0,0,0,0
https://ameozon.emeryroller.cn/,31,0,3,0,2,0,0,0,0
http://xn--app-fb-ads-notiflctlons-page-confirmatlon-l8l.r2xrssjgca-gjy3mwpvv68q.p.runcloud.link/,97,0,3,0,4,9,0,5,0
https://apps-fb-ads-confirmatlon.blogspot.com/2021/10/blog-post_29.html,71,0,5,2,2,3,0,0,2
http://app-fb-ads-security-page-app-conflrmatlon.r2xrssjgca-gjy3mwpvv68q.p.runcloud.link/,89,0,3,0,4,7,0,4,0
http://app-fb-ads-support-page-conflrmatlon.r2xrssjgca-gjy3mwpvv68q.p.runcloud.link/,84,0,3,0,4,6,0,4,0
http://apps-fb-security-confirmation-you-pages.r2xrssjgca-gjy3mwpvv68q.p.runcloud.link,86,0,2,0,4,6,0,4,0
http://app-fb-ads-supports-page-conflrmatlon.r2xrssjgca-gjy3mwpvv68q.p.runcloud.link/,85,0,3,0,4,6,0,4,0
https://bit.ly/3BpW2GH,22,0,3,0,1,0,0,0,0
http://https.app-page71561830794372134488.zbferqzhzu-ewl6nwq9m652.p.runcloud.link/,82,0,3,1,5,2,0,25,1
http://https.app-page29229455903306052176.zbferqzhzu-ewl6nwq9m652.p.runcloud.link/,82,0,3,3,5,2,0,25,3
http://https.app-page48566749256720179941.zbferqzhzu-ewl6nwq9m652.p.runcloud.link/,82,0,3,1,5,2,0,25,1
http://https.app-page75056792925827042708.zbferqzhzu-ewl6nwq9m652.p.runcloud.link/,82,0,3,3,5,2,0,25,3
http://mobile.redirect-to-app-two.zbferqzhzu-ewl6nwq9m652.p.runcloud.link,73,0,2,0,5,4,0,5,0
http://https.app-page41144411555709518060.zbferqzhzu-ewl6nwq9m652.p.runcloud.link/,82,0,3,3,5,2,0,25,3
https://manger-mercarii.club/,29,0,3,0,1,1,0,0,0
http://pagedetected2090901111.co.vu/checkpoin2/,47,0,4,3,2,0,0,10,3
https://verity-page-secure8891.000webhostapp.com/m.ibolie.html,62,0,3,3,2,2,0,7,3
http://pollicyfb.galodofirsfbcrop.xyz/,38,0,3,0,2,0,0,0,0
https://www2-etc-meisai.mioerts.co/,35,0,3,0,2,2,0,1,0
https://amenza.000webhostapp.com/help-sc.html,45,0,3,3,2,0,0,3,3
https://www.metamasc.club/#w-tabs-0-data-w-pane-1,49,0,3,1,2,0,0,0,1
https://www.metamasc.club/,26,0,3,0,2,0,0,0,0
https://solana20.com/,21,0,3,1,1,0,0,2,1
https://exchange.pancakeswap.investments/swap,45,0,3,0,2,0,0,0,0
http://2000000384679211-mx.tk/checkpoint_next.php,49,0,3,6,1,1,0,16,6
http://2000000384679212-mx.tk/checkpoint_next.php,49,0,3,6,1,1,0,16,6
http://2000000384679213-mx.tk/checkpoint_next.php,49,0,3,6,1,1,0,16,6
http://2000000384679214-mx.tk/checkpoint_next.php,49,0,3,6,1,1,0,16,6
https://www.pancakeswap.finance-win-rewards.site/,49,0,3,0,3,2,0,0,0
http://www.pancakeswap.finance-win-rewards.site,47,0,2,0,3,2,0,0,0
http://2000000384679215-mx.tk/checkpoint_next.php,49,0,3,6,1,1,0,16,6
http://2000000384679216-mx.tk/checkpoint_next.php,49,0,3,6,1,1,0,16,6
http://9898000005732461282.tk/checkpoint_next.php,49,0,3,5,1,0,0,19,5
http://9898000005732461283.tk/checkpoint_next.php,49,0,3,5,1,0,0,19,5
http://9898000005732461284.tk/checkpoint_next.php,49,0,3,5,1,0,0,19,5
http://2000000384679219-mx.tk/checkpoint_next.php,49,0,3,6,1,1,0,16,6
http://2000000384679218-mx.tk/checkpoint_next.php,49,0,3,6,1,1,0,16,6
http://2000000384679217-mx.tk/checkpoint_next.php,49,0,3,6,1,1,0,16,6
http://9898000005732461288.tk/checkpoint_next.php,49,0,3,5,1,0,0,19,5
http://9898000005732461281.tk/checkpoint_next.php,49,0,3,5,1,0,0,19,5
http://9898000005732461287.tk/checkpoint_next.php,49,0,3,5,1,0,0,19,5
http://9898000005732461286.tk/checkpoint_next.php,49,0,3,5,1,0,0,19,5
https://www.pancakeswap-sideti.tech/,36,0,3,0,2,1,0,0,0
http://www.pancakeswap-sideti.tech,34,0,2,0,2,1,0,0,0
http://9898000005732461285.tk/checkpoint_next.php,49,0,3,5,1,0,0,19,5
http://www.pancakeswap-showe.tech,33,0,2,0,2,1,0,0,0
https://amaozn.yetouch.com/,27,0,3,0,2,0,0,0,0
https://paypay.payask.info,26,0,2,0,2,0,0,0,0
https://business-appeal-form182758.web.app/appeal.html,54,0,3,0,2,2,0,6,0
https://business-appeal-form182758.web.app/check.html,53,0,3,0,2,2,0,6,0
https://business-appeal-form182758.web.app/,43,0,3,0,2,2,0,6,0
https://adcihad.com/,20,0,3,0,1,0,0,0,0
https://secure-mobile.app/button.css,36,0,3,0,1,1,0,0,0
https://appeal-form-fb-copyright817258.web.app/appeal.html,58,0,3,0,2,3,0,6,0
https://appeal-form-fb-copyright817258.web.app/check.html,57,0,3,0,2,3,0,6,0
https://appeal-form-fb-copyright817258.web.app/,47,0,3,0,2,3,0,6,0
https://aireem.icu/,19,0,3,0,1,0,0,0,0
http://pancakswaps-assets.com,29,0,2,0,1,1,0,0,0
https://www.jpmercari.online/,29,0,3,0,2,0,0,0,0
https://jpmercari.online/,25,0,3,0,1,0,0,0,0
https://ameozon.yhpwkh.cn/,26,0,3,0,2,0,0,0,0
http://pancakeswap-giveaway.online,34,0,2,0,1,1,0,0,0
https://megds.com/wp-includes/pomo/?key=pCguL,45,0,5,0,1,0,0,0,0
https://ameozon.qrilkrs.cn/,27,0,3,0,2,0,0,0,0
https://mercari.jp.no-replyoks.com/,35,0,3,0,3,1,0,0,0
https://marketplace-axiesinfinity.xyz/metamask/,47,0,4,0,1,1,0,0,0
https://marketplace-axiesinfinity.xyz/ronin/,44,0,4,0,1,1,0,0,0
https://marketplace-axiesinfinity.xyz/login/,44,0,4,0,1,1,0,0,0
https://valid-mail-check-redirect-to.com/r/next,47,0,4,0,1,4,0,0,0
https://mainet.s3.amazonaws.com/secure/index.html,49,0,4,0,3,0,0,1,0
https://special.myvnc.com/[email protected],43,0,3,0,2,0,0,0,0
https://irs-action.com/home,27,0,3,0,1,1,0,0,0
https://redirect-irs.com/home/gov/jigunglaa/asdasdasbdhagbsjdhgajskhdgasdid/,76,0,7,0,1,1,0,0,0
https://redirect-irs.com/home/gov/jigunglaa/asdasdasbdhagbsjdhgajskhdgasdid,75,0,6,0,1,1,0,0,0
https://www.visa.co.jp.rzdayu.shop/,35,0,3,0,5,0,0,0,0
https://us.compen-sation-irsprofile.com/?online&post=491077895_31&cc_key,72,0,3,1,2,2,0,0,1
https://kozykollectionz.com/skking89/Review/index.html,54,0,5,0,1,0,0,0,0
https://www.etc-mersair.jp.accountsafereply.szdfm.cn/,53,0,3,0,5,1,0,0,0
https://dryfruitsorganic.com/wp-content/themes/1Fq66tw/,55,0,6,0,1,0,0,0,0
https://dryfruitsorganic.com/wp-content/themes/1Fq66tw,54,0,5,0,1,0,0,0,0
https://irs-gov-tax-returns.assistance-application.com/home,59,0,3,0,2,4,0,0,0
https://nowupdate.webrakutencardshop.buzz/,42,0,3,0,2,0,0,0,0
https://irshelpcare.com/r/1Fq66tw,33,0,4,0,1,0,0,0,0
https://boncoffee.store/wp-content/plugins/1Fq66tw/,51,0,6,0,1,0,0,0,0
https://boncoffee.store/wp-content/plugins/1Fq66tw,50,0,5,0,1,0,0,0,0
https://amanzon.co.ip.hz-lfy.com.cn/,36,0,3,0,5,1,0,0,0
http://amanzon.co.ip.hz-lfy.com.cn/,35,0,3,0,5,1,0,0,0
https://cardservices.webrakutencardshop.xyz/,44,0,3,0,2,0,0,0,0
http://dearcustomers.webamazoncardshop.club/,44,0,3,0,2,0,0,0,0
https://www.co.jp.yfxafmy.cn/,29,0,3,0,4,0,0,0,0
http://nowupdate.webamazoncardshop.buzz/,40,0,3,0,2,0,0,0,0
https://support-valida-url-granted.com/r/submittax,50,0,4,0,1,3,0,0,0
https://needupdateto.webrakutencardshop.top/,44,0,3,0,2,0,0,0,0
https://trade.pancakieswap-finances.org/Swap/#/,47,0,5,0,2,1,0,0,0
http://cardservices.webamazoncardshop.xyz/,42,0,3,0,2,0,0,0,0
https://3vww-metams.top/index7.html,35,0,3,0,1,1,0,1,0
https://www2-etc-moisai.mioerts.co/,35,0,3,0,2,2,0,1,0
https://amanzon.co.ip.jiqingjf.com.cn/,38,0,3,0,5,0,0,0,0
http://amanzon.co.ip.jiqingjf.com.cn/,37,0,3,0,5,0,0,0,0
https://attonlinemail1.weebly.com/,34,0,3,0,2,0,0,1,0
https://susniswap.com/,22,0,3,0,1,0,0,0,0
https://www.signup-global.online/ftx,36,0,3,0,2,1,0,0,0
https://rendelparis.com/wp-admin/assets?key=iSVbt,49,0,4,0,1,0,0,0,0
http://informationservice.webamazoncardshop.top/,48,0,3,0,2,0,0,0,0
http://needupdateto.webamazoncardshop.work/,43,0,3,0,2,0,0,0,0
https://www.amazon-a.us/,24,0,3,0,2,1,0,0,0
https://axieinfinity.casa/,26,0,3,0,1,0,0,0,0
http://axieinfinity.casa,24,0,2,0,1,0,0,0,0
https://www2-etc-mcisai.mioerts.co/,35,0,3,0,2,2,0,1,0
https://recognize.ddnsking.com/[email protected],48,0,3,0,2,0,0,0,0
https://yaassedgd.weebly.com/,29,0,3,0,2,0,0,0,0
https://www.nttnews-info.zvop-x.top/,36,0,3,0,3,2,0,0,0
https://ameozon.11zhu.cn/,25,0,3,0,2,0,0,2,0
https://vinted-kijy.id-info022.me/?code,39,0,3,1,2,2,0,3,1
