site,form,method=post,method=get,script,javascripts,iframe,applet,frame,type=submit,email,password,button,length,At Sign,Forward Slashes,www Present,periods,dashes,underscores,number of digits,has ASCII,valid
https://coolcup795.weebly.com/blog/der-seltsame-klang-des-glucks,0,0,0,26,14,3,0,0,0,1,2,1,64,0,4,0,2,0,0,3,0,0
https://office365.auto1.casb.beta.forcepointgov.com/common/oauth2/v2.0/authorize?client_id=4765445b-32c6-49b0-83e6-1d93765276ca&redirect_uri=https://www-office-com.office365.auto1.casb.beta.forcepointgov.com/landingv2&response_type=code%20id_token&scope=openid%20profile%20https://www-office-com.office365.auto1.casb.beta.forcepointgov.com/v2/OfficeHome.All&response_mode=form_post&nonce=637721724187255600.OGM5MWFlMWEtOWIzMC00NGQ5LTg1NmEtNGE0NjExNzRhYTNkOWJkMDk4ZGUtY2VlMi00YzNmLTk2MTgtYjEyYzI5OGVhMDUy&ui_locales=en-US&mkt=en-US&state=xA-x_NQSPRX8FOsVKEXnhP7s7Cas7bLqJ4---DkOilZrzcwplKRba_vNiCK-v0z1JjRrrpMTM2Q25g7h7SvLS5Br4LA8NctlqNU90kxmIUDgfG2-BfySHv-tA8h3k2Bjr7_4BPXAf5cZpM9P4givBhxWitfZla_WBiIIQ3Ie_pD50GBViAa5vwaWE-M73r_gz1be-zH12_RTYZJAo65D1JxDJ9KGtWjq7OSWHcj0pGH1sGgkg0ImYlNlyuUfbBwS_9fHStYhyNAx2qSRekx-Rw&x-client-SKU=ID_NETSTANDARD2_0&x-client-ver=6.12.1.0,0,0,0,10,7,0,0,0,23,61,84,0,868,0,13,14,5,0,0,4,19,0
https://login-live-com.office365.auto1.casb.beta.forcepointgov.com/jsDisabled.srf?mkt=EN-US&lc=1033&uaid=990918f984b746efa717cf9eb122553b,0,0,0,3,2,0,0,0,0,0,0,0,137,0,3,2,6,2,0,4,2,0
https://login-live-com.office365.auto1.casb.beta.forcepointgov.com/login.srf?lc=1033,0,0,0,14,4,0,0,0,0,4,5,0,84,0,3,1,6,2,0,4,1,0
https://bestyup786.weebly.com/,0,0,0,34,13,40,0,0,0,2,2,1,30,0,3,0,2,0,0,3,0,0
https://blackfasr264.weebly.com/the-big-bang-theory-season-12-torrent.html,0,0,0,24,12,0,0,0,0,1,2,1,74,0,3,0,2,0,0,3,0,0
https://login.microsoftonline.us:443/e3333e00-c877-4b87-b6ad-45e942de1750/oauth2/authorize?client_id=00000003-0000-0ff1-ce00-000000000000&response_mode=form_post&protectedtoken=true&response_type=code%20id_token&resource=00000003-0000-0ff1-ce00-000000000000&scope=openid&nonce=E39E1F6C31AEDF3B8528D0FB2B16804FB965E92A1C15852C-C58F9F8ED0BCA81E225A0BB4012E7670653F24CFF94DC90A2652C33D4C3F4266&redirect_uri=https://flankspeed.sharepoint-mil.us/_forms/default.aspx&state=OD0w&claims={%22id_token%22:{%22xms_cc%22:{%22values%22:[%22CP1%22]}}}&wsucxt=1&cobrandid=11bd8083-87e0-41b5-bb78-0bc43c8a8e8a&client-request-id=2c8901a0-c0ba-0000-113e-021acbe50686,0,0,0,7,5,0,0,0,23,64,84,0,648,0,9,76,2,0,0,3,76,0
https://strategiesintensive.weebly.com/blog/walmart-employee-policy-handbook,0,0,0,26,14,0,0,0,0,1,2,1,76,0,4,0,2,0,0,0,0,0
https://strategiesintensive.weebly.com/1/post/2019/08/walmart-employee-policy-handbook.html,0,0,0,26,14,0,0,0,0,1,2,1,91,0,7,2,2,0,0,0,2,0
https://wetransfer.com/about?utm_campaign=WT_email_tracking&utm_content=general&utm_medium=about_link&utm_source=notify_recipient_email,0,0,0,11,28,1,0,0,0,7,0,1,135,0,3,0,1,0,0,0,0,0
https://www.4datasolution.com/landingpages/90d69b1d-cc46-48a6-8a25-a3222e9cce64/OrD5_V2bbQag-obtAO-KWYpuI23m0nQL7wgD6t6ohTg,1,0,0,1,0,0,0,0,40,17,20,1,123,0,5,1,2,0,0,1,2,0
http://bn6bgpl.cn/cnWSMeLP/Touch-wa/,0,0,0,13,16,0,0,0,0,0,0,0,36,0,5,0,1,0,0,1,0,0
http://3491gfd.cn/4UMSUGfG/Touch-wa/,0,0,0,13,16,0,0,0,0,0,0,0,36,0,5,0,1,0,0,4,0,0
http://azfnpsv.cn/HiuI54UU/Touch-wa/,0,0,0,13,16,0,0,0,0,0,0,0,36,0,5,0,1,0,0,0,0,0
http://yilkmiu.cn/Q46is5AR/Touch-wa/,0,0,0,13,16,0,0,0,0,0,0,0,36,0,5,0,1,0,0,0,0,0
http://fbpobbm.cn/1dxPWr7c/Touch-wa/,0,0,0,13,16,0,0,0,0,0,0,0,36,0,5,0,1,0,0,0,0,0
http://cwkefjb.cn/thLHqOYN/Touch-wa/,0,0,0,13,16,0,0,0,0,0,0,0,36,0,5,0,1,0,0,0,0,0
http://brbkyxi.cn/hbVtn8qh/Touch-wa/,0,0,0,13,16,0,0,0,0,0,0,0,36,0,5,0,1,0,0,0,0,0
http://lebymlz.cn/Sbb04SvR/Touch-wa/,0,0,0,13,16,0,0,0,0,0,0,0,36,0,5,1,1,0,0,0,1,0
http://emowfgx.cn/s200SPAP/Touch-wa/,0,0,0,13,16,0,0,0,0,0,0,0,36,0,5,2,1,0,0,0,2,0
https://www.rebrandly.com/,1,0,0,16,73,1,0,0,1,5,0,11,26,0,3,0,2,0,0,0,0,0
http://rebrand.ly,1,0,0,16,73,1,0,0,1,5,0,11,17,0,2,0,1,0,0,0,0,0
https://www.officence.com/eur/ea80952e-a476-42d4-aaf4-5457852b0f7e/b04d3bbb-7516-45fa-9938-8ae3a0f6ca0b/login?id=cjdzNDRsSHdQZE1hZXhzeEsxVkV1aG5POVlDVnFwdEwwMndHN1NFZlJYRXBHVzdNOTNaRUZHOVJrSDZQZEl1WnRCNWdKTlR3M0FpWUtNK2p5dzlTWGJuUDB2QkRabzZPN3cybmJvbDdUcHh5clE2VHMyVTJONklZMHd4Q1ZUZno3ZWVTcEhIdzcxV2xRVmpTQmJmZjhZbDYwZlJjRnFKUnk3TTB5SWIwZ1g4YXJtY1YyQm5nTE9GU1JDU0VKMTBVZlRGTThZbnlmNTZoZmhqdjEvZjlkbG03MnB0MFN6cUtWdUhUY3F5VmdldGI5eGZLOFUxRGhQMHZJdkZ1R3pBYjJlYjBiMnFzbHNnZmZYSVZJU3JEbEUvTXlZdldyUFlHajEvdzBGK1FqTmJtZHNkaXErVTN2bWVOejJYZnFQVTVYblJ6YWhYdDRQU0E3MCsweUNQdW13PT0,2,0,0,7,5,1,0,0,1,5,5,0,572,0,6,12,2,0,0,0,11,0
http://staratlas.exchange,0,0,0,7,5,0,0,0,0,0,0,0,25,0,2,0,1,0,0,0,0,0
https://coza.net.za/,0,0,0,0,0,0,0,0,0,0,0,0,20,0,3,0,2,0,0,0,0,0
http://co.za,0,0,0,0,0,0,0,0,0,0,0,0,12,0,2,0,1,0,0,0,0,0
https://www.postfinance.ch/en/private/products/insurance/postfinance-legal-protection-insurance.html,2,0,0,27,20,2,0,0,0,0,0,29,100,0,7,0,2,0,0,0,0,0
https://play.runescape.com/,0,0,0,14,13,1,0,0,0,0,0,0,27,0,3,0,2,0,0,0,0,0
https://shopee66.biz/,20,0,0,17,21,0,0,0,18,9,11,60,21,0,3,0,1,0,0,2,0,0
https://shopee66-redirect.com,20,0,0,17,21,0,0,0,18,9,11,60,29,0,2,0,1,1,0,2,0,0
http://viterrachampionship.ca,1,0,0,71,51,0,0,0,1,1,1,6,29,0,2,0,1,0,0,0,0,0
https://www.calvinklein.ie/,2,0,0,46,87,0,0,0,0,91,83,8,27,0,3,0,2,0,0,0,0,0
https://calvinklein.ie,2,0,0,46,87,0,0,0,0,91,83,8,22,0,2,0,1,0,0,0,0,0
https://vancouverclever.weebly.com/whatsapp-offline-download.html,0,0,0,23,11,0,0,0,0,9,2,1,65,0,3,0,2,0,0,0,0,0
https://newjerseyyellow217.weebly.com/blog/iphone-use-promo-code-to-download-ap-for-free,0,0,0,26,14,1,0,0,0,7,2,1,88,0,4,0,2,0,0,3,0,0
https://cankemimin.weebly.com/blog/developmental-biology-gilbert-10th-edition-pdf-free-download,0,0,0,25,13,1,0,0,0,1,2,1,95,0,4,1,2,0,0,0,1,0
http://netflixclone.xyz/,0,0,0,15,13,0,0,0,0,1,0,1,24,0,3,0,1,0,0,0,0,0
https://moneygo.com.ua/,1,0,0,14,12,0,0,0,0,5,0,0,23,0,3,0,2,0,0,0,0,0
https://breakingnews.weshsalfa.com/2021/11/06/pfizer-ceo-albert-bourla-arrested-for-fraud-falsifying-data-and-paying-bribes-conspiracy-theory-rattles-social-media/,0,0,0,28,15,0,0,0,0,13,0,1,163,0,7,2,2,0,0,0,2,0
http://allyzacek.com/tag/netflix/,2,0,0,29,9,0,0,0,7,5,0,1,33,0,5,0,1,0,0,0,0,0
https://www.bing.com:443/?toWww=1&redig=DEAA9632EE1446B2837053E9CB941AC7,1,0,0,10,39,0,0,0,1,0,0,0,72,0,3,3,2,0,0,3,1,0
http://www.namesilo.com,3,0,0,22,21,1,0,0,3,60,0,19,23,0,2,0,2,0,0,0,0,0
https://krebsonsecurity.com/2021/11/tis-the-season-for-the-wayward-package-phish/,2,0,0,12,9,0,0,0,2,25,3,0,81,0,6,1,1,0,0,0,1,0
https://freaksupernal.weebly.com/blog/bank-of-america-letterhead-pdf-template,0,0,0,26,14,0,0,0,0,2,2,1,77,0,4,0,2,0,0,0,0,0
https://freaksupernal.weebly.com/1/post/2019/11/bank-of-america-letterhead-pdf-template.html,0,0,0,26,14,0,0,0,0,2,2,1,92,0,7,1,2,0,0,0,1,0
https://egggreenway318.weebly.com/blog/nfs-most-wanted-pc-portable-1-link,0,0,0,25,13,0,0,0,0,1,3,1,73,0,4,0,2,0,0,3,0,0
https://egggreenway318.weebly.com/1/post/2019/07/nfs-most-wanted-pc-portable-1-link.html,0,0,0,25,13,0,0,0,0,1,3,1,88,0,7,2,2,0,0,3,2,0
https://dappradar.com/,0,0,0,6,5,0,0,0,0,0,0,0,22,0,3,0,1,0,0,0,0,0
https://www.dappradar.com/,0,0,0,6,5,0,0,0,0,0,0,0,26,0,3,0,2,0,0,0,0,0
http://meierweb.com/8ybkqt.php?2kacxta-Op,1,0,0,22,17,1,0,0,1,0,0,0,41,0,3,0,1,0,0,0,0,0
https://www.lovelearnings.com/quizzes/ex-back,1,0,0,18,10,1,0,0,0,7,0,1,45,0,4,0,2,0,0,0,0,0
https://www.youtube.com/channel/UCubtFbRu_S6Z-5wtGf2leUg/about,0,0,0,38,19,1,0,0,0,5,5,0,62,0,5,0,2,0,0,0,0,0
https://www.onlineservicetec.com/landingpages/214dde44-d83d-472c-808d-4304cf3e308c/LTzwqQVaoAvIuWcknt3RKuvQ6PIIS4sCHrtiqwaN470,3,0,0,1,0,0,0,0,3,1,5,1,126,0,5,1,2,0,0,0,4,0
https://www.onlineservicetech.website/landingpages/dd263864-38a2-466a-be2f-4e5ec6c5e042/NXkHusKbGsU8QgpzsWFBYwbrNj5ZHyDAxf-omd89Ths,1,0,0,1,0,0,0,0,40,17,20,1,131,0,5,0,2,0,0,0,1,0
https://www.google.com/url?q=https://wetransfer.com/legal/terms?utm_campaign%3DWT_email_tracking%26utm_content%3Dgeneral%26utm_medium%3Dlegal_link%26utm_source%3Dnotify_recipient_email&source=gmail&ust=1562026099798000&usg=AFQjCNHCuXBjiH1XGX-4h9FTPy1B2Mnaww,0,0,0,1,0,0,0,0,0,4,0,0,257,0,7,3,2,0,0,0,5,0
https://www.onlineservicetech.website/landingpages/dd263864-38a2-466a-be2f-4e5ec6c5e042/K7DxK0tFHpey_C4mVnCUQ5B5ZCz5IXaGKwTX99q210E,1,0,0,1,0,0,0,0,40,17,20,1,131,0,5,1,2,0,0,0,3,0
https://www.ledgerx.com/,0,0,0,13,5,4,0,0,0,0,0,0,24,0,3,0,2,0,0,0,0,0
http://ledgerx.com,0,0,0,13,5,4,0,0,0,0,0,0,18,0,2,0,1,0,0,0,0,0
https://www.google.com/search?q=cookie+rec,1,0,0,35,53,0,0,0,1,0,0,1,42,0,3,0,2,0,0,0,0,0
https://create.kahoot.it/auth/login,0,0,0,5,6,0,0,0,0,0,0,0,35,0,4,0,2,0,0,0,0,0
https://create.kahoot.it/login,0,0,0,5,6,0,0,0,0,0,0,0,30,0,3,0,2,0,0,0,0,0
https://www.brooksrunning.com/en_us/account-registration,6,0,0,32,32,0,0,0,2,45,14,41,56,0,4,0,2,0,0,0,0,0
https://walnutgrocery.top/capitec/tb.php?_t=16357716411635775705254,0,0,0,1,1,0,0,0,0,0,0,0,67,0,4,1,1,0,0,0,1,0
http://walnutgrocery.top/capitec/tb.php?_t=16357716411635775705254,0,0,0,1,1,0,0,0,0,0,0,0,66,0,4,1,1,0,0,0,1,0
https://shaftchase.top/capitec/tb.php?_t=16358536141635854765209,0,0,0,1,1,0,0,0,0,0,0,0,64,0,4,1,1,0,0,0,1,0
http://shaftchase.top/capitec/tb.php?_t=16358536141635854765209,0,0,0,1,1,0,0,0,0,0,0,0,63,0,4,1,1,0,0,0,1,0
https://global.ozon.com/pl?utm_source=google&utm_medium=cpc&utm_campaign=Promo_global_usa_search_cpc_internal_MRKT-1976_AM&utm_term=marketplace_p&utm_content=134158479308_537559256808_c&gclid=EAIaIQobChMIwLmC2In38wIVD3AYCh3BEAdzEAMYASAAEgIuIPD_BwE,0,0,0,44,20,1,0,0,0,1,0,0,247,0,3,2,2,0,0,0,2,0
https://mangolord.top/capitec/tb.php?_t=16360162181636016325154,0,0,0,1,1,0,0,0,0,0,0,0,63,0,4,2,1,0,0,0,2,0
http://mangolord.top/capitec/tb.php?_t=16360162181636016325154,0,0,0,1,1,0,0,0,0,0,0,0,62,0,4,2,1,0,0,0,2,0
https://innyellow.weebly.com/omnisphere-2-download-google-drive.html,0,0,0,24,12,1,0,0,0,1,2,1,68,0,3,0,2,0,0,0,0,0
https://login.microsoftonline.us:443/fae6d70f-954b-4811-92b6-0530d6f84c43/oauth2/authorize?client_id=00000003-0000-0ff1-ce00-000000000000&response_mode=form_post&protectedtoken=true&response_type=code%20id_token&resource=00000003-0000-0ff1-ce00-000000000000&scope=openid&nonce=F6F56C3878A4CCACDE2D9C86E0C603DCC2687B168957C564-BCE75E5182540A6A86A2786539A82B4A559D801EDF61F67F713E4F2E09449637&redirect_uri=https://armyeitaas.sharepoint-mil.us/_forms/default.aspx&state=OD0w&claims={%22id_token%22:{%22xms_cc%22:{%22values%22:[%22CP1%22]}}}&wsucxt=1&cobrandid=11bd8083-87e0-41b5-bb78-0bc43c8a8e8a&client-request-id=928dff9f-4022-0000-113e-0641d13a7efd,0,0,0,7,5,0,0,0,23,64,84,0,648,0,9,71,2,0,0,3,71,0
https://www.onlineservicetech.website/landingpages/dd263864-38a2-466a-be2f-4e5ec6c5e042/Z5sxg-gPSi0_-G8sOSqJid__X2xWCgV88p-wcMNQIX0,1,0,0,1,0,0,0,0,40,17,20,1,131,0,5,0,2,0,0,0,3,0
https://corkmessenger.weebly.com/blog/download-soccer-tutor-tactics-manager-serial-key,0,0,0,25,13,1,0,0,0,1,2,1,86,0,4,0,2,0,0,0,0,0
https://play.google.com/store/apps/details?id=io.metamask&hl=en_US&gl=US,1,0,0,40,7,0,0,0,0,2,12,15,72,0,5,0,2,0,0,0,0,0
https://payeer-online.ru/auth.html#signin,2,0,0,1,1,0,0,0,2,4,3,2,41,0,3,0,1,1,0,0,0,0
https://www.kraken.com/en-us/learn/what-is-aave-lend,1,0,0,16,15,0,0,0,0,1,0,1,52,0,5,0,2,0,0,0,0,0
https://www.euromoney.com/learning/blockchain-explained/what-is-blockchain,1,0,0,12,5,5,0,0,0,0,0,8,74,0,5,0,2,0,0,0,0,0
https://www.above.com/marketplace/greendotscam.com,0,0,0,29,20,1,0,0,2,87,30,1,50,0,4,0,2,0,0,0,0,0
https://www.above.com/marketplace/xgreendot.com,0,0,0,29,20,1,0,0,2,87,30,1,47,0,4,0,2,0,0,0,0,0
https://fasrwin924.weebly.com/blog/openbox-sx6-hd-firmware-update,0,0,0,26,14,1,0,0,0,1,2,1,65,0,4,0,2,0,0,3,0,0
https://www.jcb.co.jp/,1,0,0,18,18,1,0,0,1,0,0,1,22,0,3,0,3,0,0,0,0,0
https://git.livecommerceservice.com/users/sign_in,1,0,0,8,6,0,0,0,5,1,8,0,49,0,4,0,2,0,0,0,0,0
https://readingfasr193.weebly.com/wii-iso-google-drive.html,0,0,0,23,11,0,0,0,0,3,2,1,59,0,3,0,2,0,0,3,0,0
